customer_id,signup_date,segment,plan_type,monthly_spend,support_tickets,feature_adoption,protected_class,hazard,tenure,churned,observed,risk_score,predicted_hazard
1,2023-01-01,smb,basic,55.36,1,0.20434461380249266,group_b,0.0017933955395672445,477,1,1,89.56553861975073,1.5484909213645932
2,2023-01-02,startup,pro,66.24,4,0.3793879110294676,group_b,0.0013722121943378334,730,1,1,102.06120889705323,1.360532687897009
3,2023-01-03,startup,enterprise,111.66,1,0.16879914260215653,group_a,0.0006245035373105318,63,1,1,93.12008573978434,0.8937200999401809
4,2023-01-04,smb,basic,64.78,3,0.3644640151968695,group_a,0.0013171521839870396,165,1,1,93.55359848031306,1.3441071732102443
5,2023-01-05,enterprise,enterprise,133.38,4,0.3663680399126467,group_b,0.000367755825086724,730,1,1,103.36319600873531,0.6733933891872906
6,2023-01-06,enterprise,basic,97.87,0,0.4691395934293889,group_a,0.00040833017195239995,730,1,1,53.086040657061105,0.7346634792570754
7,2023-01-07,enterprise,pro,102.57,2,0.10593296375947128,group_a,0.0009386938159776471,730,1,1,109.40670362405288,1.0522423956448599
8,2023-01-08,startup,enterprise,91.65,2,0.2259897568393164,group_b,0.0009185311015320414,730,1,1,97.40102431606836,1.092649525863302
9,2023-01-09,smb,basic,123.19,2,0.15374712760065024,group_a,0.0005647939779096041,438,0,0,104.62528723993498,0.8488916734748707
10,2023-01-10,startup,pro,123.49,2,0.45010324484107167,group_b,0.00031036492708922417,730,1,1,74.98967551589283,0.650640772507206
11,2023-01-11,enterprise,basic,110.05,7,0.405604511818463,group_a,0.0007318285427764645,320,1,1,129.4395488181537,0.9492237822954199
12,2023-01-12,startup,pro,116.94,3,0.47829537247634757,group_b,0.00036957900519552135,438,0,0,82.17046275236524,0.711104345835404
13,2023-01-13,startup,pro,93.64,6,0.17702764461278764,group_a,0.0014522944872870562,560,1,1,142.29723553872122,1.3453166425340173
14,2023-01-14,smb,pro,116.27,3,0.13090394071312889,group_a,0.0007503557276038955,142,0,0,116.9096059286871,0.9733200109982998
